domain_len,sld_len,subdomain_len,label_count,max_label_len,avg_label_len,total_label_ratio,per_label_ratio,digit_ratio,upper_ratio,hyphen_ratio,alpha_ratio,sld_digit_ratio,sld_alpha_ratio,entropy_full,entropy_sld,entropy_subdomain,bigram_entropy_sld,trigram_entropy_sld,bigram_entropy_full,consonant_vowel_ratio,longest_consonant_run,has_meaningful_word,unique_char_ratio,is_common_tld,is_suspicious_tld,tld_len,has_subdomain,subdomain_count,has_digits,numeric_percentage
22.0,18.0,0.0,2.0,18.0,10.5,0.08695652173913043,0.2857142857142857,0.0,0.0,0.0,0.999999999952381,0.0,0.9999999999444444,3.3446983751597124,3.350209029099897,0.0,3.9698157824268097,4.0,4.221928094887363,1.5714285712040816,2.0,0.0,0.6111111110771605,1.0,0.0,3.0,0.0,0.0,0.0,0.0
16.0,12.0,0.0,2.0,12.0,7.5,0.06324110671936758,0.19047619047619047,0.0,0.0,0.0,0.9999999999333333,0.0,0.9999999999166667,3.323231428797621,2.8553885422075336,0.0,3.4594316186372973,3.3219280948873626,3.807354922057604,1.3999999997199999,3.0,0.0,0.6666666666111111,0.0,1.0,3.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.180832987205441,2.8464393446710154,0.0,3.169925001442312,3.0,3.584962500721156,3.999999998,5.0,0.0,0.79999999992,1.0,0.0,3.0,0.0,0.0,0.0,0.0
29.0,26.0,0.0,2.0,26.0,14.0,0.11462450592885376,0.4126984126984127,0.0,0.0,0.0,0.9999999999642857,0.0,0.9999999999615384,3.994680368408909,4.056020968057882,0.0,4.643856189774724,4.584962500721156,4.754887502163468,4.19999999916,8.0,0.0,0.692307692281065,1.0,0.0,2.0,0.0,0.0,0.0,0.0
16.0,12.0,0.0,2.0,12.0,7.5,0.06324110671936758,0.19047619047619047,0.0,0.0,0.06666666666222222,0.9333333332711111,0.0,0.9166666665902777,3.3735572622751855,3.2516291673878226,0.0,3.4594316186372973,3.3219280948873626,3.807354922057604,1.19999999976,2.0,0.0,0.8333333332638889,1.0,0.0,3.0,0.0,0.0,0.0,0.0
15.0,12.0,0.0,2.0,12.0,7.0,0.05928853754940711,0.19047619047619047,0.0,0.0,0.0,0.9999999999285715,0.0,0.9999999999166667,3.3787834934861753,3.2516291673878226,0.0,3.4594316186372973,3.3219280948873626,3.7004397181410926,4.9999999975,7.0,0.0,0.8333333332638889,1.0,0.0,2.0,0.0,0.0,0.0,0.0
22.0,18.0,0.0,2.0,18.0,10.5,0.08695652173913043,0.2857142857142857,0.0952380952335601,0.0,0.0,0.9047619047188209,0.11111111110493826,0.8888888888395061,4.011365041826379,3.94770277922009,0.0,4.087462841250339,4.0,4.321928094887363,2.99999999925,4.0,0.0,0.8888888888395061,1.0,1.0,3.0,0.0,0.0,1.0,0.09090909090495868
18.0,4.0,9.0,3.0,9.0,5.333333333333333,0.07114624505928854,0.14285714285714285,0.0,0.0,0.0,0.9999999999375,0.0,0.99999999975,3.375,1.5,2.725480556997868,1.584962500721156,1.0,3.906890595608519,3999999999.9999995,4.0,0.0,0.7499999998125,1.0,0.0,3.0,1.0,1.0,0.0,0.0
19.0,15.0,0.0,2.0,15.0,9.0,0.07509881422924901,0.23809523809523808,0.0,0.0,0.05555555555246913,0.9444444443919753,0.0,0.9333333332711111,3.03856233607563,2.7898980954642876,0.0,3.807354922057604,3.7004397181410926,4.087462841250339,1.333333333111111,3.0,0.0,0.5333333332977778,0.0,0.0,3.0,0.0,0.0,0.0,0.0
22.0,18.0,0.0,2.0,18.0,10.5,0.08695652173913043,0.2857142857142857,0.14285714285034012,0.0,0.0,0.8571428571020409,0.1666666666574074,0.8333333332870371,3.7849418274376427,3.6835423624332306,0.0,4.087462841250339,4.0,4.321928094887363,3.9999999986666666,5.0,0.0,0.7777777777345679,1.0,1.0,3.0,0.0,0.0,1.0,0.136363636357438
16.0,13.0,0.0,2.0,13.0,7.5,0.06324110671936758,0.20634920634920634,0.0,0.0,0.0,0.9999999999333333,0.0,0.9999999999230769,2.923231428797621,2.7192945256669794,0.0,3.0220552088742005,3.2776134368191157,3.3248629576173565,2.2499999994375,3.0,0.0,0.6153846153372781,1.0,1.0,2.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.238901256602631,2.9219280948873623,0.0,3.169925001442312,3.0,3.584962500721156,8.999999991,9.0,0.0,0.79999999992,1.0,0.0,3.0,0.0,0.0,0.0,0.0
12.0,8.0,0.0,2.0,8.0,5.5,0.04743083003952569,0.12698412698412698,0.0,0.0,0.0,0.9999999999090909,0.0,0.999999999875,3.2776134368191157,2.75,0.0,2.8073549220576037,2.584962500721156,3.3219280948873626,1.6666666661111111,2.0,0.0,0.874999999890625,1.0,0.0,3.0,0.0,0.0,0.0,0.0
21.0,17.0,0.0,2.0,17.0,10.0,0.08300395256916997,0.2698412698412698,0.0,0.0,0.0,0.99999999995,0.0,0.9999999999411765,3.5464393446710156,3.572469458770135,0.0,4.0,3.906890595608519,4.247927513443585,2.39999999952,4.0,0.0,0.7647058823079584,1.0,0.0,3.0,0.0,0.0,0.0,0.0
16.0,4.0,7.0,3.0,7.0,4.666666666666667,0.06324110671936758,0.1111111111111111,0.0,0.0,0.0,0.9999999999285715,0.0,0.99999999975,2.8073549220576037,0.8112781244591328,2.2359263506290326,0.9182958340544896,1.0,3.546593564294939,0.3333333332222222,1.0,0.0,0.499999999875,1.0,0.0,3.0,1.0,1.0,0.0,0.0
19.0,16.0,0.0,2.0,16.0,9.0,0.07509881422924901,0.25396825396825395,0.0,0.0,0.0,0.9999999999444444,0.0,0.9999999999375,3.086048612313038,3.077819531114783,0.0,3.906890595608519,3.807354922057604,3.9698157824268097,6.9999999965,11.0,0.0,0.5624999999648438,1.0,0.0,2.0,0.0,0.0,0.0,0.0
24.0,4.0,15.0,3.0,15.0,7.333333333333333,0.09486166007905138,0.23809523809523808,0.18181818180991735,0.0,0.0,0.8181818181446281,0.0,0.99999999975,3.823067982273661,1.5,3.506890595608519,1.584962500721156,1.0,4.392317422778761,3999999999.9999995,4.0,0.0,0.7499999998125,1.0,0.0,3.0,1.0,1.0,1.0,0.1666666666597222
15.0,11.0,0.0,2.0,11.0,7.0,0.05928853754940711,0.1746031746031746,0.0,0.0,0.0,0.9999999999285715,0.0,0.9999999999090909,3.2359263506290326,3.095795255000934,0.0,3.3219280948873626,3.169925001442312,3.7004397181410926,1.7499999995625,2.0,0.0,0.8181818181074381,1.0,0.0,3.0,0.0,0.0,0.0,0.0
11.0,8.0,0.0,2.0,8.0,5.0,0.043478260869565216,0.12698412698412698,0.0,0.0,0.0,0.9999999999,0.0,0.999999999875,2.9219280948873623,2.5,0.0,2.8073549220576037,2.584962500721156,3.169925001442312,1.6666666661111111,2.0,0.0,0.74999999990625,1.0,0.0,2.0,0.0,0.0,0.0,0.0
