domain_len,sld_len,subdomain_len,label_count,max_label_len,avg_label_len,total_label_ratio,per_label_ratio,digit_ratio,upper_ratio,hyphen_ratio,alpha_ratio,sld_digit_ratio,sld_alpha_ratio,entropy_full,entropy_sld,entropy_subdomain,bigram_entropy_sld,trigram_entropy_sld,bigram_entropy_full,consonant_vowel_ratio,longest_consonant_run,has_meaningful_word,unique_char_ratio,is_common_tld,is_suspicious_tld,tld_len,has_subdomain,subdomain_count,has_digits,numeric_percentage
22.0,19.0,0.0,2.0,19.0,10.5,0.08695652173913043,0.30158730158730157,0.0,0.0,0.04761904761678005,0.9523809523356009,0.0,0.9473684210027701,3.558518613048906,3.431623565847431,0.0,4.169925001442312,4.087462841250339,4.321928094887363,1.24999999984375,2.0,0.0,0.63157894733518,1.0,0.0,2.0,0.0,0.0,0.0,0.0
18.0,4.0,10.0,3.0,10.0,5.333333333333333,0.07114624505928854,0.15873015873015872,0.0,0.0,0.0,0.9999999999375,0.0,0.99999999975,3.077819531114783,2.0,2.5219280948873624,1.584962500721156,1.0,3.773557262275186,0.9999999995,1.0,0.0,0.99999999975,1.0,0.0,2.0,1.0,1.0,0.0,0.0
20.0,16.0,0.0,2.0,16.0,9.5,0.07905138339920949,0.25396825396825395,0.0,0.0,0.0,0.9999999999473684,0.0,0.9999999999375,3.2210972500579573,3.202819531114783,0.0,3.640223928941852,3.6644977792004614,3.94770277922009,1.2857142855306123,3.0,0.0,0.6249999999609375,1.0,0.0,3.0,0.0,0.0,0.0,0.0
18.0,15.0,0.0,2.0,15.0,8.5,0.07114624505928854,0.23809523809523808,0.0,0.0,0.0,0.9999999999411765,0.0,0.9999999999333333,3.3371753411230767,3.323231428797621,0.0,3.807354922057604,3.7004397181410926,3.75,0.874999999890625,2.0,0.0,0.7333333332844444,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.0,3.0,10.0,3.0,10.0,5.0,0.06719367588932806,0.15873015873015872,0.0,0.0,0.0,0.9999999999333333,0.0,0.9999999996666666,3.773557262275186,1.584962500721156,3.3219280948873626,1.0,-0.0,3.807354922057604,1.9999999979999998,1.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
14.0,11.0,0.0,2.0,11.0,6.5,0.05533596837944664,0.1746031746031746,0.0,0.0,0.07692307691715976,0.9230769230059171,0.0,0.9090909090082645,3.238901256602631,3.095795255000934,0.0,3.3219280948873626,3.169925001442312,3.584962500721156,0.9999999998,2.0,0.0,0.8181818181074381,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11.0,7.0,0.0,2.0,7.0,5.0,0.043478260869565216,0.1111111111111111,0.0,0.0,0.0,0.9999999999,0.0,0.9999999998571428,3.3219280948873626,2.8073549220576037,0.0,2.584962500721156,2.321928094887362,3.169925001442312,5.9999999939999995,3.0,0.0,0.9999999998571428,1.0,0.0,3.0,0.0,0.0,0.0,0.0
19.0,2.0,13.0,3.0,13.0,5.666666666666667,0.07509881422924901,0.20634920634920634,0.0,0.0,0.0,0.9999999999411765,0.0,0.9999999995,3.381580488309163,1.0,3.238901256602631,-0.0,0.0,3.875,0.9999999989999999,1.0,0.0,0.9999999995,1.0,0.0,2.0,1.0,1.0,0.0,0.0
18.0,14.0,0.0,2.0,14.0,8.5,0.07114624505928854,0.2222222222222222,0.0,0.0,0.0,0.9999999999411765,0.0,0.9999999999285715,3.146286370662104,3.0391486719030705,0.0,3.7004397181410926,3.584962500721156,3.875,2.499999999375,2.0,0.0,0.6428571428112245,1.0,0.0,3.0,0.0,0.0,0.0,0.0
15.0,11.0,0.0,2.0,11.0,7.0,0.05928853754940711,0.1746031746031746,0.0,0.0,0.0,0.9999999999285715,0.0,0.9999999999090909,3.2359263506290326,2.913977073182752,0.0,3.3219280948873626,3.169925001442312,3.7004397181410926,1.19999999976,3.0,0.0,0.7272727272066115,1.0,0.0,3.0,0.0,0.0,0.0,0.0
17.0,14.0,0.0,2.0,14.0,8.0,0.06719367588932806,0.2222222222222222,0.0,0.0,0.0,0.9999999999375,0.0,0.9999999999285715,3.327819531114783,3.0391486719030705,0.0,3.546593564294939,3.584962500721156,3.773557262275186,3.666666665444444,5.0,0.0,0.6428571428112245,1.0,0.0,2.0,0.0,0.0,0.0,0.0
29.0,3.0,22.0,3.0,22.0,9.0,0.11462450592885376,0.3492063492063492,0.0,0.0,0.0,0.999999999962963,0.0,0.9999999996666666,3.4723248916786282,1.584962500721156,3.3519530742463757,1.0,-0.0,4.469670487371861,1.9999999979999998,1.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
21.0,17.0,0.0,2.0,17.0,10.0,0.08300395256916997,0.2698412698412698,0.0,0.0,0.0,0.99999999995,0.0,0.9999999999411765,3.6464393446710157,3.4548223999466057,0.0,3.875,3.906890595608519,4.142664355548848,1.428571428367347,3.0,0.0,0.705882352899654,1.0,0.0,3.0,0.0,0.0,0.0,0.0
14.0,10.0,0.0,2.0,10.0,6.5,0.05533596837944664,0.15873015873015872,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999,3.3927474104487847,3.1219280948873624,0.0,3.169925001442312,3.0,3.584962500721156,2.3333333325555556,4.0,0.0,0.89999999991,1.0,0.0,3.0,0.0,0.0,0.0,0.0
14.0,11.0,0.0,2.0,11.0,6.5,0.05533596837944664,0.1746031746031746,0.0,0.0,0.0,0.9999999999230769,0.0,0.9999999999090909,3.3927474104487847,3.2776134368191157,0.0,3.3219280948873626,3.169925001442312,3.584962500721156,1.7499999995625,2.0,0.0,0.9090909090082645,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.0,3.0,4.0,3.0,4.0,3.0,0.043478260869565216,0.06349206349206349,0.0,0.0,0.0,0.9999999998888889,0.0,0.9999999996666666,2.6416041678685938,1.584962500721156,1.5,1.0,-0.0,3.0,3000000000.0,3.0,0.0,0.9999999996666666,1.0,0.0,2.0,1.0,1.0,0.0,0.0
13.0,9.0,0.0,2.0,9.0,6.0,0.05138339920948617,0.14285714285714285,0.0,0.0,0.0,0.9999999999166667,0.0,0.9999999998888889,2.918295834054489,2.5032583347756456,0.0,2.75,2.8073549220576037,3.2776134368191157,1.9999999993333333,3.0,1.0,0.6666666665925925,1.0,0.0,3.0,0.0,0.0,0.0,0.0
13.0,9.0,0.0,2.0,9.0,6.0,0.05138339920948617,0.14285714285714285,0.0,0.0,0.0,0.9999999999166667,0.0,0.9999999998888889,2.8553885422075336,2.5032583347756456,0.0,3.0,2.8073549220576037,3.4594316186372973,1.2499999996875,2.0,0.0,0.6666666665925925,1.0,0.0,3.0,0.0,0.0,0.0,0.0
19.0,15.0,0.0,2.0,15.0,9.0,0.07509881422924901,0.23809523809523808,0.05555555555246913,0.0,0.0,0.9444444443919753,0.06666666666222222,0.9333333332711111,3.4613201402110083,3.323231428797621,0.0,3.807354922057604,3.7004397181410926,4.087462841250339,3.666666665444444,4.0,0.0,0.7333333332844444,1.0,0.0,3.0,0.0,0.0,1.0,0.052631578944598335
